Region_Code,Region_Name,Station_Name,Station_Local_Name,Display_Name,EPW_File,Latitude,Longitude,Altitude,HDD_base20,CDD_base26,HDD_degree_hours,CDD_degree_hours
LZ,Lazio,Terminillo,Terminillo.Mtn,ITA_LZ_Terminillo.Lazio,ITA_LZ_Terminillo.Mtn.162190_TMYx.2011-2025.epw,42.4667,12.9833,1875.0,3419.5916666666667,20.904166666666665,82070.2,501.7
LZ,Lazio,Vigna,Vigna.di.Valle,ITA_LZ_Vigna.Lazio,ITA_LZ_Vigna.di.Valle.162240_TMYx.2011-2025.epw,42.0803,12.2114,266.0,1998.5583333333332,100.12083333333334,47965.399999999994,2402.9
LZ,Lazio,Viterbo,Viterbo.AP,ITA_LZ_Viterbo.Lazio,ITA_LZ_Viterbo.AP.162160_TMYx.2011-2025.epw,42.4383,12.055,308.0,2227.9416666666666,128.4333333333333,53470.6,3082.3999999999996
MH,Marche,Ancona,Ancona,ITA_MH_Ancona.Marche,ITA_MH_Ancona.161900_TMYx.2011-2025.epw,43.6114,13.5253,143.0,1839.3625000000002,86.78749999999998,44144.700000000004,2082.8999999999996
MH,Marche,Frontone,Frontone,ITA_MH_Frontone.Marche,ITA_MH_Frontone.161790_TMYx.2011-2025.epw,43.5169,12.7278,574.0,2740.741666666667,82.85416666666667,65777.8,1988.5
MH,Marche,Loreto,Loreto,ITA_MH_Loreto.Marche,ITA_MH_Loreto.161920_TMYx.2011-2025.epw,43.43,13.6036,198.0,1846.0291666666665,98.10833333333335,44304.7,2354.6000000000004
MH,Marche,Marche,Marche.AP,ITA_MH_Marche.Marche,ITA_MH_Marche.AP.161910_TMYx.2011-2025.epw,43.6167,13.3603,15.0,1994.5958333333335,97.81666666666666,47870.3,2347.6
ML,Molise,Campobasso,Campobasso,ITA_ML_Campobasso.Molise,ITA_ML_Campobasso.162520_TMYx.2011-2025.epw,41.5636,14.655,807.0,2738.3624999999997,64.55416666666667,65720.7,1549.3000000000002
ML,Molise,Termoli,Termoli,ITA_ML_Termoli.Molise,ITA_ML_Termoli.162320_TMYx.2011-2025.epw,42.0042,14.9964,44.0,1496.0166666666664,164.275,35904.399999999994,3942.6
PM,Piedmont,Bousson,Bousson,ITA_PM_Bousson.Piedmont,ITA_PM_Bousson.160580_TMYx.2011-2025.epw,44.9339,6.8222,1401.0,5934.995833333333,0.15416666666666665,142439.9,3.6999999999999993
